ds2: 1750 train / 35 val (0 short items)
step 0 loss 299.353 ema 299.353 val 203.224 0.29s/it
step 200 loss 8.900 ema 15.105 val 8.469 0.06s/it
step 400 loss 6.936 ema 7.597 val 6.814 0.06s/it
step 600 loss 6.185 ema 6.286 val 6.047 0.06s/it
step 800 loss 6.055 ema 5.896 val 5.829 0.06s/it
step 1000 loss 5.494 ema 5.679 val 5.457 0.06s/it
step 1200 loss 5.326 ema 5.524 val 5.466 0.06s/it
step 1400 loss 5.288 ema 5.421 val 5.362 0.06s/it
step 1600 loss 5.470 ema 5.310 val 5.231 0.06s/it
step 1800 loss 5.107 ema 5.220 val 5.035 0.06s/it
step 2000 loss 5.210 ema 5.164 val 4.994 0.06s/it
step 2200 loss 5.060 ema 5.112 val 5.095 0.06s/it
step 2400 loss 4.886 ema 5.036 val 4.975 0.06s/it
step 2600 loss 4.940 ema 5.013 val 4.962 0.06s/it
step 2800 loss 5.000 ema 4.946 val 4.941 0.06s/it
step 3000 loss 5.044 ema 4.906 val 4.882 0.06s/it
step 3200 loss 4.866 ema 4.879 val 5.039 0.06s/it
step 3400 loss 4.811 ema 4.868 val 4.839 0.06s/it
step 3600 loss 4.846 ema 4.833 val 4.808 0.06s/it
step 3800 loss 4.921 ema 4.815 val 4.745 0.06s/it
step 4000 loss 4.820 ema 4.786 val 4.750 0.06s/it
step 4200 loss 4.753 ema 4.766 val 4.706 0.06s/it
step 4400 loss 4.734 ema 4.749 val 4.715 0.06s/it
step 4600 loss 4.779 ema 4.734 val 4.801 0.06s/it
step 4800 loss 4.643 ema 4.712 val 4.683 0.06s/it
step 5000 loss 4.683 ema 4.707 val 4.678 0.06s/it
step 5200 loss 4.532 ema 4.652 val 4.557 0.06s/it
step 5400 loss 4.732 ema 4.642 val 4.649 0.06s/it
step 5600 loss 4.639 ema 4.631 val 4.637 0.06s/it
step 5800 loss 4.497 ema 4.608 val 4.576 0.06s/it
step 6000 loss 4.649 ema 4.613 val 4.568 0.06s/it
step 6200 loss 4.600 ema 4.575 val 4.564 0.06s/it
step 6400 loss 4.690 ema 4.571 val 4.616 0.06s/it
step 6600 loss 4.643 ema 4.584 val 4.529 0.06s/it
step 6800 loss 4.582 ema 4.558 val 4.484 0.06s/it
