ds2: 1750 train / 35 val (120 short items)
step 140000 loss 20.047 ema 20.047 val 22.037 0.46s/it
step 140200 loss 19.786 ema 20.187 val 21.382 0.15s/it
step 140400 loss 20.046 ema 19.790 val 21.436 0.15s/it
step 140600 loss 20.017 ema 19.953 val 21.411 0.15s/it
step 140800 loss 19.353 ema 19.540 val 20.643 0.14s/it
step 141000 loss 19.741 ema 19.438 val 20.604 0.14s/it
step 141200 loss 19.249 ema 19.329 val 20.504 0.14s/it
step 141400 loss 19.551 ema 19.291 val 20.902 0.14s/it
step 141600 loss 19.164 ema 19.287 val 20.526 0.14s/it
step 141800 loss 19.374 ema 19.231 val 20.786 0.14s/it
step 142000 loss 19.520 ema 19.230 val 21.339 0.14s/it
step 142200 loss 19.937 ema 19.282 val 20.226 0.14s/it
step 142400 loss 19.190 ema 19.163 val 20.812 0.14s/it
step 142600 loss 19.108 ema 19.122 val 20.815 0.14s/it
step 142800 loss 19.478 ema 19.065 val 20.288 0.14s/it
step 143000 loss 19.005 ema 19.087 val 20.313 0.14s/it
step 143200 loss 19.092 ema 19.041 val 20.437 0.14s/it
step 143400 loss 19.110 ema 19.022 val 20.342 0.14s/it
step 143600 loss 18.713 ema 19.111 val 21.231 0.14s/it
step 143800 loss 18.971 ema 19.077 val 20.177 0.14s/it
step 144000 loss 18.681 ema 19.049 val 20.290 0.14s/it
step 144200 loss 19.038 ema 19.137 val 20.661 0.14s/it
step 144400 loss 19.119 ema 19.073 val 20.969 0.14s/it
step 144600 loss 18.633 ema 18.945 val 20.690 0.14s/it
step 144800 loss 18.296 ema 18.953 val 20.559 0.14s/it
step 145000 loss 18.589 ema 19.094 val 20.004 0.14s/it
step 145200 loss 18.996 ema 19.106 val 20.288 0.14s/it
step 145400 loss 19.142 ema 19.060 val 20.444 0.14s/it
step 145600 loss 19.126 ema 18.944 val 20.139 0.14s/it
step 145800 loss 19.279 ema 19.172 val 19.485 0.14s/it
step 146000 loss 18.734 ema 19.022 val 20.645 0.14s/it
step 146200 loss 18.580 ema 19.045 val 20.931 0.14s/it
step 146400 loss 18.766 ema 18.964 val 20.409 0.14s/it
step 146600 loss 19.551 ema 18.839 val 20.792 0.14s/it
