ds2: 1750 train / 35 val (0 short items)
step 120000 loss 16.387 ema 16.387 val 18.797 0.14s/it
step 120200 loss 17.130 ema 17.085 val 18.108 0.07s/it
step 120400 loss 16.462 ema 16.569 val 17.846 0.07s/it
step 120600 loss 16.909 ema 16.610 val 17.578 0.06s/it
step 120800 loss 16.547 ema 16.399 val 17.946 0.06s/it
step 121000 loss 16.068 ema 16.551 val 17.685 0.06s/it
step 121200 loss 16.194 ema 16.319 val 17.302 0.06s/it
step 121400 loss 16.162 ema 16.279 val 17.509 0.06s/it
step 121600 loss 16.287 ema 16.154 val 17.480 0.06s/it
step 121800 loss 16.082 ema 16.289 val 17.076 0.06s/it
step 122000 loss 16.255 ema 16.167 val 17.631 0.06s/it
step 122200 loss 15.954 ema 16.148 val 17.594 0.06s/it
step 122400 loss 15.936 ema 16.205 val 17.687 0.06s/it
step 122600 loss 15.768 ema 16.090 val 17.407 0.06s/it
step 122800 loss 15.703 ema 16.050 val 17.664 0.06s/it
step 123000 loss 16.251 ema 16.046 val 17.075 0.06s/it
step 123200 loss 17.340 ema 16.435 val 18.791 0.06s/it
step 123400 loss 15.935 ema 16.125 val 17.264 0.06s/it
step 123600 loss 16.523 ema 16.179 val 17.344 0.06s/it
step 123800 loss 16.179 ema 15.986 val 17.172 0.06s/it
step 124000 loss 16.016 ema 15.964 val 17.265 0.06s/it
step 124200 loss 15.778 ema 16.044 val 17.043 0.06s/it
step 124400 loss 15.830 ema 15.964 val 17.231 0.06s/it
step 124600 loss 16.340 ema 16.038 val 17.543 0.06s/it
step 124800 loss 15.747 ema 15.927 val 16.892 0.06s/it
step 125000 loss 16.085 ema 16.058 val 17.484 0.06s/it
step 125200 loss 15.880 ema 16.021 val 17.066 0.06s/it
step 125400 loss 16.090 ema 15.977 val 17.094 0.06s/it
step 125600 loss 15.815 ema 15.915 val 17.705 0.06s/it
step 125800 loss 15.897 ema 15.992 val 17.108 0.06s/it
step 126000 loss 15.895 ema 15.921 val 17.474 0.06s/it
step 126200 loss 16.700 ema 16.236 val 17.876 0.06s/it
step 126400 loss 16.627 ema 16.140 val 17.417 0.06s/it
step 126600 loss 16.552 ema 16.255 val 17.775 0.06s/it
step 126800 loss 16.068 ema 16.045 val 17.151 0.06s/it
step 127000 loss 15.832 ema 15.985 val 16.796 0.06s/it
step 127200 loss 15.824 ema 15.860 val 17.197 0.06s/it
step 127400 loss 15.633 ema 15.875 val 16.953 0.06s/it
step 127600 loss 15.570 ema 15.817 val 17.171 0.06s/it
step 127800 loss 16.162 ema 15.917 val 17.878 0.06s/it
step 128000 loss 15.925 ema 15.891 val 17.295 0.06s/it
step 128200 loss 16.214 ema 15.951 val 17.288 0.06s/it
step 128400 loss 16.000 ema 15.876 val 16.697 0.06s/it
step 128600 loss 15.706 ema 15.881 val 17.434 0.06s/it
step 128800 loss 15.946 ema 15.970 val 17.893 0.06s/it
step 129000 loss 15.540 ema 15.808 val 17.172 0.06s/it
step 129200 loss 16.135 ema 15.832 val 17.217 0.06s/it
step 129400 loss 15.967 ema 15.835 val 17.362 0.06s/it
step 129600 loss 15.970 ema 15.889 val 16.850 0.06s/it
step 129800 loss 15.764 ema 15.789 val 17.408 0.06s/it
step 130000 loss 16.009 ema 15.825 val 17.339 0.06s/it
step 130200 loss 16.174 ema 15.865 val 17.031 0.06s/it
step 130400 loss 15.821 ema 15.830 val 17.277 0.06s/it
step 130600 loss 15.827 ema 15.875 val 17.075 0.06s/it
step 130800 loss 15.955 ema 15.836 val 16.794 0.06s/it
step 131000 loss 15.738 ema 15.869 val 17.276 0.06s/it
step 131200 loss 16.097 ema 16.029 val 17.274 0.06s/it
step 131400 loss 15.935 ema 15.924 val 17.172 0.06s/it
step 131600 loss 15.830 ema 15.892 val 16.929 0.06s/it
step 131800 loss 15.726 ema 15.826 val 16.651 0.06s/it
step 132000 loss 16.025 ema 16.016 val 17.167 0.06s/it
step 132200 loss 15.491 ema 15.860 val 16.913 0.06s/it
step 132400 loss 16.026 ema 15.844 val 17.234 0.06s/it
step 132600 loss 16.020 ema 15.812 val 17.203 0.06s/it
step 132800 loss 16.103 ema 16.012 val 17.452 0.06s/it
step 133000 loss 15.853 ema 15.787 val 17.039 0.06s/it
step 133200 loss 15.573 ema 15.794 val 17.353 0.06s/it
step 133400 loss 15.961 ema 15.791 val 16.862 0.06s/it
step 133600 loss 15.642 ema 15.844 val 16.815 0.06s/it
step 133800 loss 15.828 ema 15.796 val 17.119 0.06s/it
step 134000 loss 15.480 ema 15.754 val 17.179 0.06s/it
step 134200 loss 15.591 ema 15.745 val 17.118 0.06s/it
step 134400 loss 16.035 ema 15.907 val 17.381 0.06s/it
step 134600 loss 15.732 ema 15.761 val 17.391 0.06s/it
step 134800 loss 16.476 ema 15.848 val 17.424 0.06s/it
step 135000 loss 15.576 ema 15.805 val 17.471 0.06s/it
step 135200 loss 15.945 ema 15.964 val 17.272 0.06s/it
step 135400 loss 16.084 ema 15.941 val 17.436 0.06s/it
step 135600 loss 15.899 ema 15.779 val 16.657 0.06s/it
step 135800 loss 15.877 ema 15.721 val 16.793 0.06s/it
step 136000 loss 16.054 ema 15.857 val 17.011 0.06s/it
step 136200 loss 15.759 ema 15.786 val 17.156 0.06s/it
step 136400 loss 15.930 ema 15.789 val 17.303 0.06s/it
step 136600 loss 15.688 ema 15.793 val 17.270 0.06s/it
step 136800 loss 16.047 ema 15.820 val 17.328 0.06s/it
step 137000 loss 15.590 ema 15.787 val 16.609 0.06s/it
step 137200 loss 15.636 ema 15.730 val 17.215 0.06s/it
step 137400 loss 15.510 ema 15.698 val 17.125 0.06s/it
step 137600 loss 15.504 ema 15.682 val 16.964 0.06s/it
step 137800 loss 15.662 ema 15.804 val 17.069 0.06s/it
step 138000 loss 15.677 ema 15.774 val 17.220 0.06s/it
step 138200 loss 16.015 ema 15.713 val 17.268 0.06s/it
step 138400 loss 15.745 ema 15.833 val 17.412 0.06s/it
step 138600 loss 15.645 ema 15.774 val 17.265 0.06s/it
step 138800 loss 15.757 ema 15.714 val 16.878 0.06s/it
step 139000 loss 15.495 ema 15.808 val 16.958 0.06s/it
step 139200 loss 15.507 ema 15.742 val 16.849 0.06s/it
step 139400 loss 15.822 ema 15.748 val 17.514 0.06s/it
step 139600 loss 15.509 ema 15.706 val 16.892 0.06s/it
step 139800 loss 15.448 ema 15.903 val 17.087 0.06s/it
step 140000 loss 15.848 ema 15.728 val 16.961 0.06s/it
