dsx: 609 train / 12 val
step 0 mel 0.0000 ema 0.0000 1.90s/it
step 100 mel 0.0000 ema 0.0000 1.51s/it
step 200 mel 0.0000 ema 0.0000 1.51s/it
step 300 mel 0.0000 ema 0.0000 1.52s/it
step 400 mel 0.0000 ema 0.0000 1.51s/it
step 500 mel 0.0000 ema 0.0000 1.51s/it
step 600 mel 0.0000 ema 0.0000 1.51s/it
step 700 mel 0.0000 ema 0.0000 1.51s/it
step 800 mel 0.0000 ema 0.0000 1.51s/it
step 900 mel 0.0000 ema 0.0000 1.52s/it
step 1000 mel 0.0000 ema 0.0000 1.52s/it
step 1100 mel 0.0000 ema 0.0000 1.53s/it
step 1200 mel 0.0000 ema 0.0000 1.53s/it
step 1300 mel 0.0000 ema 0.0000 1.54s/it
step 1400 mel 0.0000 ema 0.0000 1.54s/it
step 1500 mel 0.0000 ema 0.0000 1.55s/it
step 1600 mel 0.0000 ema 0.0000 1.55s/it
step 1700 mel 0.0000 ema 0.0000 1.53s/it
step 1800 mel 0.0000 ema 0.0000 1.51s/it
step 1900 mel 0.0000 ema 0.0000 1.49s/it
step 2000 mel 0.0000 ema 0.0000 1.46s/it
step 2100 mel 0.0000 ema 0.0000 1.44s/it
step 2200 mel 0.0000 ema 0.0000 1.43s/it
step 2300 mel 0.0000 ema 0.0000 1.41s/it
step 2400 mel 0.0000 ema 0.0000 1.40s/it
step 2500 mel 0.0000 ema 0.0000 1.38s/it
step 2600 mel 0.0000 ema 0.0000 1.37s/it
step 2700 mel 0.0000 ema 0.0000 1.36s/it
step 2800 mel 0.0000 ema 0.0000 1.36s/it
step 2900 mel 0.0000 ema 0.0000 1.36s/it
step 3000 mel 0.4253 ema 0.0085 1.35s/it
step 3100 mel 0.3928 ema 0.3611 1.35s/it
step 3200 mel 0.3966 ema 0.3942 1.34s/it
step 3300 mel 0.3883 ema 0.3887 1.34s/it
step 3400 mel 0.3777 ema 0.3891 1.34s/it
step 3500 mel 0.3751 ema 0.3884 1.33s/it
step 3600 mel 0.3818 ema 0.3865 1.33s/it
step 3700 mel 0.3934 ema 0.3857 1.33s/it
step 3800 mel 0.3884 ema 0.3860 1.32s/it
step 3900 mel 0.3870 ema 0.3853 1.32s/it
step 4000 mel 0.3759 ema 0.3839 1.32s/it
step 4100 mel 0.3811 ema 0.3840 1.31s/it
step 4200 mel 0.3766 ema 0.3833 1.31s/it
step 4300 mel 0.3887 ema 0.3846 1.31s/it
step 4400 mel 0.3830 ema 0.3807 1.31s/it
step 4500 mel 0.3659 ema 0.3814 1.30s/it
step 4600 mel 0.3727 ema 0.3810 1.30s/it
step 4700 mel 0.3768 ema 0.3787 1.30s/it
step 4800 mel 0.3867 ema 0.3800 1.30s/it
step 4900 mel 0.3757 ema 0.3797 1.30s/it
step 5000 mel 0.3882 ema 0.3803 1.30s/it
step 5100 mel 0.3815 ema 0.3801 1.29s/it
step 5200 mel 0.3791 ema 0.3782 1.29s/it
step 5300 mel 0.3664 ema 0.3795 1.29s/it
step 5400 mel 0.3788 ema 0.3784 1.29s/it
step 5500 mel 0.3797 ema 0.3782 1.29s/it
step 5600 mel 0.4019 ema 0.3801 1.29s/it
step 5700 mel 0.3764 ema 0.3800 1.28s/it
step 5800 mel 0.3682 ema 0.3773 1.28s/it
step 5900 mel 0.3749 ema 0.3765 1.28s/it
step 6000 mel 0.3887 ema 0.3770 1.28s/it
step 6100 mel 0.3805 ema 0.3780 1.28s/it
step 6200 mel 0.3864 ema 0.3783 1.28s/it
step 6300 mel 0.3842 ema 0.3785 1.28s/it
step 6400 mel 0.3733 ema 0.3774 1.28s/it
step 6500 mel 0.3794 ema 0.3789 1.27s/it
step 6600 mel 0.3824 ema 0.3794 1.27s/it
step 6700 mel 0.3655 ema 0.3755 1.27s/it
step 6800 mel 0.3788 ema 0.3778 1.27s/it
step 6900 mel 0.3810 ema 0.3772 1.27s/it
step 7000 mel 0.3896 ema 0.3767 1.27s/it
step 7100 mel 0.3583 ema 0.3763 1.27s/it
step 7200 mel 0.3802 ema 0.3776 1.27s/it
step 7300 mel 0.3611 ema 0.3776 1.27s/it
step 7400 mel 0.3791 ema 0.3766 1.27s/it
step 7500 mel 0.3772 ema 0.3757 1.27s/it
step 7600 mel 0.3761 ema 0.3759 1.26s/it
step 7700 mel 0.3744 ema 0.3760 1.26s/it
step 7800 mel 0.3833 ema 0.3764 1.26s/it
step 7900 mel 0.3736 ema 0.3767 1.26s/it
step 8000 mel 0.3780 ema 0.3762 1.26s/it
step 8100 mel 0.3628 ema 0.3748 1.26s/it
step 8200 mel 0.3915 ema 0.3781 1.26s/it
step 8300 mel 0.3688 ema 0.3767 1.26s/it
step 8400 mel 0.3725 ema 0.3761 1.26s/it
step 8500 mel 0.3715 ema 0.3752 1.26s/it
step 8600 mel 0.3891 ema 0.3743 1.25s/it
step 8700 mel 0.3679 ema 0.3758 1.25s/it
step 8800 mel 0.3547 ema 0.3744 1.25s/it
step 8900 mel 0.3553 ema 0.3733 1.25s/it
step 9000 mel 0.3889 ema 0.3771 1.25s/it
step 9100 mel 0.3746 ema 0.3755 1.25s/it
step 9200 mel 0.3675 ema 0.3751 1.25s/it
step 9300 mel 0.3758 ema 0.3752 1.25s/it
step 9400 mel 0.3731 ema 0.3760 1.25s/it
step 9500 mel 0.3588 ema 0.3733 1.25s/it
step 9600 mel 0.3659 ema 0.3742 1.25s/it
step 9700 mel 0.3934 ema 0.3765 1.25s/it
step 9800 mel 0.3753 ema 0.3742 1.25s/it
step 9900 mel 0.3775 ema 0.3735 1.25s/it
step 10000 mel 0.3964 ema 0.3743 1.25s/it
step 10100 mel 0.3908 ema 0.3764 1.25s/it
step 10200 mel 0.3784 ema 0.3757 1.25s/it
step 10300 mel 0.3826 ema 0.3758 1.25s/it
step 10400 mel 0.3681 ema 0.3736 1.25s/it
step 10500 mel 0.3636 ema 0.3743 1.25s/it
step 10600 mel 0.3606 ema 0.3738 1.25s/it
step 10700 mel 0.3645 ema 0.3749 1.25s/it
step 10800 mel 0.3762 ema 0.3750 1.25s/it
step 10900 mel 0.3744 ema 0.3752 1.25s/it
step 11000 mel 0.3790 ema 0.3736 1.25s/it
step 11100 mel 0.3845 ema 0.3733 1.24s/it
step 11200 mel 0.3665 ema 0.3746 1.24s/it
step 11300 mel 0.3673 ema 0.3730 1.24s/it
step 11400 mel 0.3710 ema 0.3733 1.24s/it
step 11500 mel 0.3680 ema 0.3739 1.24s/it
step 11600 mel 0.3645 ema 0.3719 1.24s/it
step 11700 mel 0.3799 ema 0.3719 1.24s/it
step 11800 mel 0.3762 ema 0.3730 1.24s/it
step 11900 mel 0.3935 ema 0.3721 1.24s/it
step 12000 mel 0.3753 ema 0.3721 1.24s/it
step 12100 mel 0.3835 ema 0.3711 1.24s/it
step 12200 mel 0.3579 ema 0.3726 1.24s/it
step 12300 mel 0.3718 ema 0.3728 1.24s/it
step 12400 mel 0.3744 ema 0.3728 1.24s/it
step 12500 mel 0.3681 ema 0.3722 1.24s/it
step 12600 mel 0.3819 ema 0.3714 1.24s/it
step 12700 mel 0.3980 ema 0.3720 1.24s/it
step 12800 mel 0.3810 ema 0.3726 1.24s/it
step 12900 mel 0.3649 ema 0.3721 1.24s/it
step 13000 mel 0.3525 ema 0.3726 1.24s/it
step 13100 mel 0.3502 ema 0.3722 1.24s/it
step 13200 mel 0.3724 ema 0.3722 1.24s/it
step 13300 mel 0.3812 ema 0.3720 1.24s/it
step 13400 mel 0.3692 ema 0.3707 1.24s/it
step 13500 mel 0.3606 ema 0.3713 1.24s/it
step 13600 mel 0.3676 ema 0.3703 1.24s/it
step 13700 mel 0.3723 ema 0.3700 1.24s/it
step 13800 mel 0.3598 ema 0.3710 1.24s/it
step 13900 mel 0.3856 ema 0.3703 1.24s/it
step 14000 mel 0.3692 ema 0.3717 1.24s/it
step 14100 mel 0.3697 ema 0.3712 1.24s/it
step 14200 mel 0.3838 ema 0.3712 1.24s/it
step 14300 mel 0.3659 ema 0.3718 1.24s/it
step 14400 mel 0.3661 ema 0.3718 1.24s/it
