dsx: 609 train / 12 val
step 38000 mel 0.3518 ema 0.3518 1.79s/it
step 38100 mel 0.3854 ema 0.3643 1.21s/it
step 38200 mel 0.3675 ema 0.3619 1.21s/it
step 38300 mel 0.3545 ema 0.3627 1.21s/it
step 38400 mel 0.3521 ema 0.3622 1.21s/it
step 38500 mel 0.3638 ema 0.3611 1.21s/it
step 38600 mel 0.3673 ema 0.3596 1.21s/it
step 38700 mel 0.3659 ema 0.3614 1.21s/it
step 38800 mel 0.3405 ema 0.3597 1.21s/it
step 38900 mel 0.3834 ema 0.3602 1.21s/it
step 39000 mel 0.3699 ema 0.3629 1.21s/it
step 39100 mel 0.3623 ema 0.3610 1.21s/it
step 39200 mel 0.3667 ema 0.3599 1.21s/it
step 39300 mel 0.3629 ema 0.3587 1.21s/it
step 39400 mel 0.3508 ema 0.3598 1.21s/it
step 39500 mel 0.3508 ema 0.3608 1.21s/it
step 39600 mel 0.3711 ema 0.3618 1.21s/it
step 39700 mel 0.3512 ema 0.3588 1.21s/it
step 39800 mel 0.3602 ema 0.3594 1.21s/it
step 39900 mel 0.3611 ema 0.3604 1.21s/it
step 40000 mel 0.3689 ema 0.3597 1.21s/it
step 40100 mel 0.3556 ema 0.3599 1.21s/it
step 40200 mel 0.3742 ema 0.3607 1.21s/it
step 40300 mel 0.3400 ema 0.3600 1.21s/it
step 40400 mel 0.3737 ema 0.3598 1.21s/it
step 40500 mel 0.3733 ema 0.3607 1.21s/it
step 40600 mel 0.3391 ema 0.3597 1.21s/it
step 40700 mel 0.3441 ema 0.3619 1.21s/it
step 40800 mel 0.3512 ema 0.3603 1.21s/it
step 40900 mel 0.3523 ema 0.3595 1.21s/it
step 41000 mel 0.3531 ema 0.3593 1.21s/it
step 41100 mel 0.3568 ema 0.3601 1.21s/it
step 41200 mel 0.3654 ema 0.3605 1.21s/it
step 41300 mel 0.3617 ema 0.3592 1.21s/it
step 41400 mel 0.3513 ema 0.3606 1.21s/it
step 41500 mel 0.3484 ema 0.3613 1.21s/it
step 41600 mel 0.3541 ema 0.3599 1.21s/it
step 41700 mel 0.3571 ema 0.3611 1.21s/it
step 41800 mel 0.3674 ema 0.3602 1.21s/it
step 41900 mel 0.3580 ema 0.3611 1.21s/it
step 42000 mel 0.3578 ema 0.3605 1.21s/it
step 42100 mel 0.3572 ema 0.3602 1.20s/it
step 42200 mel 0.3545 ema 0.3604 1.20s/it
step 42300 mel 0.3640 ema 0.3614 1.20s/it
step 42400 mel 0.3586 ema 0.3602 1.20s/it
step 42500 mel 0.3461 ema 0.3601 1.20s/it
step 42600 mel 0.3505 ema 0.3606 1.20s/it
step 42700 mel 0.3593 ema 0.3590 1.20s/it
step 42800 mel 0.3656 ema 0.3597 1.20s/it
step 42900 mel 0.3570 ema 0.3605 1.20s/it
step 43000 mel 0.3682 ema 0.3600 1.20s/it
step 43100 mel 0.3628 ema 0.3610 1.20s/it
step 43200 mel 0.3632 ema 0.3591 1.20s/it
step 43300 mel 0.3495 ema 0.3596 1.20s/it
step 43400 mel 0.3650 ema 0.3596 1.20s/it
step 43500 mel 0.3600 ema 0.3597 1.20s/it
step 43600 mel 0.3812 ema 0.3616 1.20s/it
step 43700 mel 0.3639 ema 0.3606 1.20s/it
step 43800 mel 0.3520 ema 0.3591 1.20s/it
step 43900 mel 0.3575 ema 0.3597 1.20s/it
step 44000 mel 0.3721 ema 0.3595 1.20s/it
step 44100 mel 0.3654 ema 0.3607 1.20s/it
step 44200 mel 0.3742 ema 0.3610 1.20s/it
step 44300 mel 0.3677 ema 0.3607 1.20s/it
step 44400 mel 0.3541 ema 0.3594 1.20s/it
step 44500 mel 0.3639 ema 0.3601 1.20s/it
step 44600 mel 0.3629 ema 0.3619 1.20s/it
step 44700 mel 0.3492 ema 0.3588 1.20s/it
step 44800 mel 0.3632 ema 0.3608 1.20s/it
step 44900 mel 0.3658 ema 0.3604 1.20s/it
step 45000 mel 0.3743 ema 0.3598 1.20s/it
step 45100 mel 0.3401 ema 0.3592 1.20s/it
step 45200 mel 0.3668 ema 0.3598 1.20s/it
step 45300 mel 0.3456 ema 0.3608 1.20s/it
step 45400 mel 0.3627 ema 0.3595 1.20s/it
step 45500 mel 0.3633 ema 0.3591 1.20s/it
step 45600 mel 0.3595 ema 0.3595 1.20s/it
step 45700 mel 0.3601 ema 0.3590 1.20s/it
step 45800 mel 0.3718 ema 0.3600 1.20s/it
step 45900 mel 0.3637 ema 0.3611 1.20s/it
step 46000 mel 0.3608 ema 0.3606 1.20s/it
step 46100 mel 0.3467 ema 0.3578 1.20s/it
step 46200 mel 0.3703 ema 0.3595 1.20s/it
step 46300 mel 0.3538 ema 0.3605 1.20s/it
step 46400 mel 0.3580 ema 0.3600 1.20s/it
step 46500 mel 0.3532 ema 0.3592 1.20s/it
step 46600 mel 0.3739 ema 0.3585 1.20s/it
step 46700 mel 0.3450 ema 0.3590 1.20s/it
step 46800 mel 0.3390 ema 0.3590 1.20s/it
step 46900 mel 0.3421 ema 0.3586 1.20s/it
step 47000 mel 0.3610 ema 0.3604 1.20s/it
step 47100 mel 0.3627 ema 0.3597 1.20s/it
step 47200 mel 0.3528 ema 0.3604 1.20s/it
step 47300 mel 0.3549 ema 0.3598 1.20s/it
step 47400 mel 0.3578 ema 0.3611 1.20s/it
step 47500 mel 0.3475 ema 0.3594 1.20s/it
step 47600 mel 0.3512 ema 0.3605 1.20s/it
step 47700 mel 0.3837 ema 0.3608 1.20s/it
step 47800 mel 0.3637 ema 0.3599 1.20s/it
step 47900 mel 0.3664 ema 0.3590 1.20s/it
step 48000 mel 0.3839 ema 0.3600 1.20s/it
step 48100 mel 0.3782 ema 0.3618 1.20s/it
step 48200 mel 0.3615 ema 0.3613 1.20s/it
step 48300 mel 0.3664 ema 0.3590 1.20s/it
step 48400 mel 0.3575 ema 0.3583 1.20s/it
step 48500 mel 0.3495 ema 0.3596 1.20s/it
step 48600 mel 0.3495 ema 0.3594 1.20s/it
step 48700 mel 0.3436 ema 0.3591 1.20s/it
step 48800 mel 0.3576 ema 0.3600 1.20s/it
step 48900 mel 0.3619 ema 0.3610 1.20s/it
step 49000 mel 0.3667 ema 0.3596 1.20s/it
step 49100 mel 0.3716 ema 0.3600 1.20s/it
step 49200 mel 0.3503 ema 0.3606 1.20s/it
step 49300 mel 0.3551 ema 0.3592 1.20s/it
step 49400 mel 0.3573 ema 0.3597 1.20s/it
step 49500 mel 0.3560 ema 0.3596 1.20s/it
step 49600 mel 0.3503 ema 0.3583 1.20s/it
step 49700 mel 0.3692 ema 0.3588 1.20s/it
step 49800 mel 0.3634 ema 0.3597 1.20s/it
step 49900 mel 0.3772 ema 0.3588 1.20s/it
step 50000 mel 0.3597 ema 0.3590 1.20s/it
step 50100 mel 0.3711 ema 0.3584 1.20s/it
step 50200 mel 0.3488 ema 0.3603 1.20s/it
step 50300 mel 0.3640 ema 0.3600 1.20s/it
step 50400 mel 0.3632 ema 0.3595 1.20s/it
step 50500 mel 0.3568 ema 0.3592 1.20s/it
step 50600 mel 0.3585 ema 0.3585 1.20s/it
step 50700 mel 0.3859 ema 0.3590 1.20s/it
step 50800 mel 0.3644 ema 0.3603 1.20s/it
step 50900 mel 0.3455 ema 0.3601 1.20s/it
step 51000 mel 0.3390 ema 0.3599 1.20s/it
step 51100 mel 0.3337 ema 0.3598 1.20s/it
step 51200 mel 0.3632 ema 0.3605 1.20s/it
step 51300 mel 0.3727 ema 0.3600 1.20s/it
step 51400 mel 0.3601 ema 0.3584 1.20s/it
step 51500 mel 0.3484 ema 0.3588 1.20s/it
step 51600 mel 0.3574 ema 0.3578 1.20s/it
step 51700 mel 0.3613 ema 0.3578 1.20s/it
step 51800 mel 0.3464 ema 0.3592 1.20s/it
step 51900 mel 0.3792 ema 0.3611 1.20s/it
DONE
