dsd: 609 train / 12 val
step 0 l1 2.3188 val 2.0790 0.34s/it
step 200 l1 0.9031 val 0.9025 0.11s/it
step 400 l1 0.6374 val 0.6625 0.10s/it
step 600 l1 0.5606 val 0.5412 0.10s/it
step 800 l1 0.5157 val 0.4968 0.10s/it
step 1000 l1 0.4808 val 0.4679 0.10s/it
step 1200 l1 0.4506 val 0.4383 0.10s/it
step 1400 l1 0.4448 val 0.4527 0.10s/it
step 1600 l1 0.4303 val 0.4316 0.10s/it
step 1800 l1 0.4351 val 0.4175 0.10s/it
step 2000 l1 0.4330 val 0.4599 0.10s/it
step 2200 l1 0.4197 val 0.4653 0.10s/it
step 2400 l1 0.4053 val 0.4349 0.10s/it
step 2600 l1 0.3926 val 0.4597 0.10s/it
step 2800 l1 0.4180 val 0.4447 0.10s/it
step 3000 l1 0.3952 val 0.4316 0.10s/it
step 3200 l1 0.3931 val 0.4450 0.10s/it
step 3400 l1 0.3812 val 0.3979 0.10s/it
step 3600 l1 0.3898 val 0.4111 0.10s/it
step 3800 l1 0.3863 val 0.3687 0.10s/it
step 4000 l1 0.3814 val 0.4200 0.10s/it
step 4200 l1 0.3698 val 0.3653 0.10s/it
step 4400 l1 0.3880 val 0.3683 0.10s/it
step 4600 l1 0.3635 val 0.4123 0.10s/it
step 4800 l1 0.3733 val 0.4057 0.10s/it
step 5000 l1 0.3605 val 0.4172 0.10s/it
step 5200 l1 0.3633 val 0.3561 0.10s/it
step 5400 l1 0.3716 val 0.3807 0.10s/it
step 5600 l1 0.3596 val 0.4199 0.10s/it
step 5800 l1 0.3666 val 0.3950 0.10s/it
step 6000 l1 0.3640 val 0.3918 0.10s/it
step 6200 l1 0.3611 val 0.3469 0.10s/it
step 6400 l1 0.3575 val 0.4237 0.10s/it
step 6600 l1 0.3747 val 0.3940 0.10s/it
step 6800 l1 0.3548 val 0.3770 0.10s/it
step 7000 l1 0.3487 val 0.4233 0.10s/it
step 7200 l1 0.3572 val 0.3503 0.10s/it
step 7400 l1 0.3449 val 0.3970 0.10s/it
step 7600 l1 0.3499 val 0.3750 0.10s/it
step 7800 l1 0.3582 val 0.3918 0.10s/it
step 8000 l1 0.3527 val 0.3551 0.10s/it
step 8200 l1 0.3562 val 0.3650 0.10s/it
step 8400 l1 0.3468 val 0.3476 0.10s/it
step 8600 l1 0.3511 val 0.3702 0.10s/it
step 8800 l1 0.3504 val 0.3441 0.10s/it
step 9000 l1 0.3465 val 0.3422 0.10s/it
step 9200 l1 0.3412 val 0.3664 0.10s/it
step 9400 l1 0.3399 val 0.3557 0.10s/it
step 9600 l1 0.3441 val 0.3612 0.10s/it
step 9800 l1 0.3478 val 0.3843 0.10s/it
step 10000 l1 0.3420 val 0.3602 0.10s/it
step 10200 l1 0.3535 val 0.3948 0.10s/it
step 10400 l1 0.3451 val 0.3821 0.10s/it
step 10600 l1 0.3328 val 0.3429 0.10s/it
step 10800 l1 0.3387 val 0.3377 0.10s/it
step 11000 l1 0.3435 val 0.3782 0.10s/it
step 11200 l1 0.3450 val 0.3567 0.10s/it
step 11400 l1 0.3261 val 0.3873 0.10s/it
step 11600 l1 0.3377 val 0.3837 0.10s/it
step 11800 l1 0.3280 val 0.3605 0.10s/it
step 12000 l1 0.3421 val 0.3895 0.10s/it
step 12200 l1 0.3460 val 0.3353 0.10s/it
step 12400 l1 0.3280 val 0.3790 0.10s/it
step 12600 l1 0.3354 val 0.3412 0.10s/it
step 12800 l1 0.3386 val 0.4057 0.10s/it
step 13000 l1 0.3399 val 0.3389 0.10s/it
step 13200 l1 0.3326 val 0.3356 0.10s/it
step 13400 l1 0.3269 val 0.3324 0.10s/it
step 13600 l1 0.3236 val 0.3534 0.10s/it
step 13800 l1 0.3292 val 0.3281 0.10s/it
step 14000 l1 0.3326 val 0.3504 0.10s/it
step 14200 l1 0.3200 val 0.3742 0.10s/it
step 14400 l1 0.3354 val 0.3519 0.10s/it
step 14600 l1 0.3238 val 0.3463 0.10s/it
step 14800 l1 0.3384 val 0.3526 0.10s/it
step 15000 l1 0.3318 val 0.3507 0.10s/it
step 15200 l1 0.3272 val 0.3226 0.10s/it
step 15400 l1 0.3291 val 0.3560 0.10s/it
step 15600 l1 0.3336 val 0.3483 0.10s/it
step 15800 l1 0.3254 val 0.4009 0.10s/it
step 16000 l1 0.3296 val 0.3489 0.10s/it
step 16200 l1 0.3313 val 0.3469 0.10s/it
step 16400 l1 0.3280 val 0.3179 0.10s/it
step 16600 l1 0.3177 val 0.3912 0.10s/it
step 16800 l1 0.3315 val 0.3486 0.10s/it
step 17000 l1 0.3184 val 0.3763 0.10s/it
step 17200 l1 0.3331 val 0.3504 0.10s/it
step 17400 l1 0.3173 val 0.3428 0.10s/it
step 17600 l1 0.3267 val 0.3453 0.10s/it
step 17800 l1 0.3243 val 0.3458 0.10s/it
step 18000 l1 0.3203 val 0.3723 0.10s/it
step 18200 l1 0.3183 val 0.3752 0.10s/it
step 18400 l1 0.3266 val 0.3983 0.10s/it
step 18600 l1 0.3438 val 0.3466 0.10s/it
step 18800 l1 0.3180 val 0.3755 0.10s/it
step 19000 l1 0.3187 val 0.3968 0.10s/it
step 19200 l1 0.3172 val 0.4137 0.10s/it
step 19400 l1 0.3099 val 0.3464 0.10s/it
step 19600 l1 0.3230 val 0.3513 0.10s/it
step 19800 l1 0.3300 val 0.3207 0.10s/it
step 20000 l1 0.3141 val 0.3874 0.10s/it
step 20200 l1 0.3127 val 0.3685 0.10s/it
step 20400 l1 0.3130 val 0.3657 0.10s/it
step 20600 l1 0.3174 val 0.3162 0.10s/it
step 20800 l1 0.3235 val 0.3176 0.10s/it
step 21000 l1 0.3026 val 0.3973 0.10s/it
step 21200 l1 0.3250 val 0.3445 0.10s/it
step 21400 l1 0.3250 val 0.3639 0.10s/it
